studyid,class,n,mean_change,sd_change,source,pooled_sd_study,z_mean_change,z_sd_change,treatment_id
Farabaugh 2015,Cognitive and cognitive behavioural therapies individual,15,-8.8,5.60853813395255,baseline_followup,6.722316069133709,-1.3090726335237668,1,trt_010
Farabaugh 2015,SSRIs,11,-5.45,8.02601395463526,baseline_followup,6.722316069133709,-0.8107324832618783,1,trt_039
Fava 1998a,Placebo,19,-11.6,8.9,change_from_baseline,12.822246293064255,-0.9046776777540619,1,trt_031
Fava 1998a,SSRIs,109,-21.9,13.364505228402585,change_from_baseline,12.822246293064255,-1.707969064035686,1,trt_039
Fava 2005,Placebo,43,-7.3,5.55067563455117,baseline_followup,5.979548477937109,-1.2208279650102336,1,trt_031
Fava 2005,SSRIs,47,-6.299999999999999,6.34586479528204,baseline_followup,5.979548477937109,-1.053591257474585,1,trt_039
Fawcett 1989,SSRIs,19,-10.8,5.63471383479232,baseline_followup,6.296030495478875,-1.7153665325724499,1,trt_039
Fawcett 1989,TCAs,19,-8.9,6.89420046125727,baseline_followup,6.296030495478875,-1.4135890870272965,1,trt_046
Feighner 1982,Placebo,45,-14.0073233346625,4.33796265544091,binary_response_converted,5.921461227238882,-2.3655180363638006,1,trt_031
Feighner 1982,TCAs,94,-28.014646669325,6.538339238675215,binary_response_converted,5.921461227238882,-4.731036072727601,1,trt_046
Fonagy 2019,Cognitive and cognitive behavioural therapies individual,20,-5.92,6.63144780572086,baseline_followup,7.660288379399012,-0.7728168584254335,1,trt_010
Fonagy 2019,Self-help with support,54,-4.08,8.84218864309058,baseline_followup,7.660288379399012,-0.5326170240499609,1,trt_041
Fonagy 2019,Short-term psychodynamic psychotherapies individual,73,-8.15,6.94283083475321,baseline_followup,7.660288379399012,-1.0639286142174464,1,trt_043
Forest Laboratories 2000,Placebo,125,-11.2,10.35,change_from_baseline,12.89118816247894,-0.8688105284661573,1,trt_031
Forest Laboratories 2000,SSRIs,243,-25.900000000000002,14.015883846550668,change_from_baseline,12.89118816247894,-2.009124347077989,1,trt_039
Forest Laboratories 2010,Placebo,215,-8.5,8.8,change_from_baseline,12.838616216436302,-0.6620651210928867,1,trt_031
Forest Laboratories 2010,SSRIs,637,-23.1,13.936818144755996,change_from_baseline,12.838616216436302,-1.7992593290877277,1,trt_039
Forest Research Institute 2003,Placebo,151,-10,10.57,change_from_baseline,10.594344543263158,-0.9438998287401276,1,trt_031
Forest Research Institute 2003,SSRIs,143,-13.3,10.62,change_from_baseline,10.594344543263158,-1.2553867722243697,1,trt_039
Forest Research Institute 2005,Placebo,132,-12.4,10.34,change_from_baseline,13.400763923649047,-0.9253203825281225,1,trt_031
Forest Research Institute 2005,SSRIs,266,-32.5,14.67997275201831,change_from_baseline,13.400763923649047,-2.4252348735616116,1,trt_039
Forlenza 2001,SSRIs,27,-15.85,11.89,change_from_baseline,11.184379099845312,-1.4171551105791127,1,trt_039
Forlenza 2001,TCAs,28,-15.03,10.46,change_from_baseline,11.184379099845312,-1.343838568580698,1,trt_046
Freed 1999,SSRIs,149,-17.7,9.0509281292031,baseline_followup,9.249873256599674,-1.9135397328143129,1,trt_039
Freed 1999,TCAs,157,-15.08,9.43473900009958,baseline_followup,9.249873256599674,-1.6302926085220248,1,trt_046
Fu 2003,Acupuncture,32,-23.9,6.39296488336984,baseline_followup,6.300052909830731,-3.793618933375298,1,trt_001
Fu 2003,SSRIs,30,-20.9,6.19919349593155,baseline_followup,6.300052909830731,-3.3174324563825826,1,trt_039
Fudge 1990,SSRIs,17,-14.8,7.97746827007165,baseline_followup,6.568053998966003,-2.2533310478765762,1,trt_039
Fudge 1990,Trazodone,15,-17.1,4.43959457608462,baseline_followup,6.568053998966003,-2.6035108728844225,1,trt_047
GSK_29060/103,SSRIs,45,-17.8,10.73,change_from_baseline,10.244756361739034,-1.73747421329388,1,trt_039
GSK_29060/103,TCAs,36,-17.1,9.6,change_from_baseline,10.244756361739034,-1.6691465756924353,1,trt_046
Gater 2010,Any AD,42,-1,6.95053954740206,baseline_followup,5.788055228946364,-0.17276960230077767,1,trt_003
Gater 2010,Peer support group,39,-5,4.58257569495584,baseline_followup,5.788055228946364,-0.8638480115038883,1,trt_029
Gater 2010,Peer support group + AD,42,-5.7,5.502726596879041,baseline_followup,5.788055228946364,-0.9847867331144328,1,trt_030
Gentil 2000,SNRIs,57,-14.0073233346625,3,binary_response_converted,3.1033654623621847,-4.513591294529831,1,trt_038
Gentil 2000,TCAs,59,-14.0073233346625,3.2,binary_response_converted,3.1033654623621847,-4.513591294529831,1,trt_046
Georgotas 1982,Placebo,18,-11.2,8.82661883169314,baseline_followup,8.153970337085148,-1.3735639862535647,1,trt_031
Georgotas 1982,TCAs,15,-20,7.2538058975961,baseline_followup,8.153970337085148,-2.4527928325956516,1,trt_046
Godlewska 2012,Placebo,21,-3.3,4.4034077712608,baseline_followup,5.8420886675914145,-0.5648664694711881,1,trt_031
Godlewska 2012,SSRIs,21,-4.4,6.99070811863863,baseline_followup,5.8420886675914145,-0.7531552926282509,1,trt_039
Golden 2002_448,Placebo,101,-9.9,8.04,change_from_baseline,10.532468145971372,-0.9399506234240749,1,trt_031
Golden 2002_448,SSRIs,206,-23.799999999999997,11.55482583166012,change_from_baseline,10.532468145971372,-2.2596792765144422,1,trt_039
Golden 2002_449,Placebo,110,-10.2,8.18,change_from_baseline,10.572584656507528,-0.9647593593607974,1,trt_031
Golden 2002_449,SSRIs,218,-25.4,11.58949955778937,change_from_baseline,10.572584656507528,-2.402439973310221,1,trt_039
Goldstein 2002,Placebo,70,-45.01,6.3867060418544,baseline_followup,6.07387729914758,-7.410422993944377,1,trt_031
Goldstein 2002,SNRIs,70,-46.53,5.79613322668195,baseline_followup,6.07387729914758,-7.660675003515483,1,trt_038
Goldstein 2002,SSRIs,33,-43.55,5.96620819925158,baseline_followup,6.07387729914758,-7.170049353172131,1,trt_039
Goldstein 2004,Placebo,89,-14.0073233346625,5.08,binary_response_converted,4.977933047384469,-2.81388343341064,1,trt_031
Goldstein 2004,SNRIs,91,-14.0073233346625,4.66,binary_response_converted,4.977933047384469,-2.81388343341064,1,trt_038
Goldstein 2004,SSRIs,87,-14.0073233346625,5.19,binary_response_converted,4.977933047384469,-2.81388343341064,1,trt_039
Gual 2003,Placebo,39,-14.0073233346625,8,binary_response_converted,7.436338870873835,-1.8836316604028718,1,trt_031
Gual 2003,SSRIs,44,-14.0073233346625,6.9,binary_response_converted,7.436338870873835,-1.8836316604028718,1,trt_039
Guelfi 1995,Placebo,47,-4.8,11,change_from_baseline,10.33143075950575,-0.4646016715142394,1,trt_031
Guelfi 1995,SNRIs,46,-14.2,9.6,change_from_baseline,10.33143075950575,-1.3744466115629583,1,trt_038
Hamamci 2006,Cognitive and cognitive behavioural therapies group,10,-16.8,7.7338024283013596,baseline_followup,8.402071486434636,-1.9995069105427203,1,trt_008
Hamamci 2006,No treatment,11,-6.69,8.9610044079891,baseline_followup,8.402071486434636,-0.7962322161625476,1,trt_028
Hamdan-Mansour 2009,No treatment,36,-3.1,8.81532756056177,baseline_followup,8.25534791700321,-0.3755141553289419,1,trt_028
Hamdan-Mansour 2009,Psychoeducation group,44,-13.3,7.7698133825723295,baseline_followup,8.25534791700321,-1.6110768599596539,1,trt_034
Hao 2014,SNRIs,127,-13.8,6.6,change_from_baseline,6.859419380767233,-2.011832085772901,1,trt_038
Hao 2014,SSRIs,132,-12,7.1,change_from_baseline,6.859419380767233,-1.7494192050199135,1,trt_039
