studyid,class,n,mean_change,sd_change,source
Cohn 1990b,TCAs,64,-14.2,7.76,change_from_baseline
Connolly Gibbons 2012,Any psychotherapy,15,-3.9,6.61183786855062,baseline_followup
Connolly Gibbons 2012,Short-term psychodynamic psychotherapies individual,16,-6.4,5.82047248941183,baseline_followup
Connolly Gibbons 2016,Cognitive and cognitive behavioural therapies individual,119,-5.02,5.11862286166895,baseline_followup
Connolly Gibbons 2016,Short-term psychodynamic psychotherapies individual,118,-4.16,5.31901306634981,baseline_followup
Cornelius 1997,Counselling individual + AD,25,-6,9.600000000000001,change_from_baseline
Cornelius 1997,Counselling individual + placebo,26,-2,13.299999999999999,change_from_baseline
Costa 1998,SNRIs,196,-21.4,7.54453444554401,baseline_followup
Costa 1998,SSRIs,186,-20.6,6.89855057240287,baseline_followup
Cutler 2009,Placebo,152,-71.78,6.3867060418544,baseline_followup
Cutler 2009,SNRIs,141,-75.44,6.08313408589087,baseline_followup
De Ronchi 1998,SSRIs,32,-11.38,7.40520762706894,baseline_followup
De Ronchi 1998,TCAs,33,-12.56,8.19822541773523,baseline_followup
DeJonghe 2001/Kool 2003,Any AD,20,-9.1,7.88500475586413,baseline_followup
DeJonghe 2001/Kool 2003,Short-term psychodynamic psychotherapies individual + AD,23,-8.61,5.85272586065672,baseline_followup
DeNayer 2002,SNRIs,64,-14.4,7.6,change_from_baseline
DeNayer 2002,SSRIs,67,-10.4,8.6,change_from_baseline
Demyttenaere 1998,SSRIs,35,-15,5.5380501984001596,baseline_followup
Demyttenaere 1998,TCAs,31,-16.7,4.15812457725836,baseline_followup
Detke 2002a,Placebo,139,-49.21,5.47221177482525,baseline_followup
Detke 2002a,SNRIs,128,-51.12,5.47221177482525,baseline_followup
Detke 2002b,Placebo,122,-48.33,5.64359939057329,baseline_followup
Detke 2002b,SNRIs,123,-53.75,5.85772543588471,baseline_followup
Detke 2004,Placebo,93,-8.8,4.82,change_from_baseline
Detke 2004,SNRIs,186,-23.1,6.816509370638318,change_from_baseline
Detke 2004,SSRIs,85,-11.7,4.61,change_from_baseline
Deushle 2003,SSRIs,40,-10.9,7.11898869222307,baseline_followup
Deushle 2003,TCAs,40,-13.5,6.48151216923952,baseline_followup
Diaz-Martinez 1998,SNRIs,55,-23.1,7.10225959986558,baseline_followup
Diaz-Martinez 1998,SSRIs,55,-24,7.17006451308452,baseline_followup
