study,treatment,mean,std.dev,sampleSize
MDF/29060/III/070/88/MC,trt_046,-1.7804931780964646,1,20
MIR 003-003 (FDA),trt_026,-1.2373063910969664,1,45
MIR 003-003 (FDA),trt_031,-1.0469515616974332,1,45
MIR 003-020 (FDA),trt_026,-1.2978397109012874,1,40
MIR 003-020 (FDA),trt_031,-0.5877010011628472,1,39
MIR 003-020 (FDA),trt_046,-1.4080336486193212,1,40
MIR 003-021 (FDA),trt_026,-1.4734861618779782,1,45
MIR 003-021 (FDA),trt_031,-1.1964203878496407,1,48
MIR 003-021 (FDA),trt_046,-1.7127702394479065,1,48
MY-1042/BRL-029060/CPMS-251,trt_031,-1.083457203591652,1,123
MY-1042/BRL-029060/CPMS-251,trt_039,-1.3434869324536487,1,120
MY-1045/BRL-029060/1 (PAR 128),trt_031,-0.759417961355775,1,136
MY-1045/BRL-029060/1 (PAR 128),trt_039,-2.09261838240258,1,694
Macias-Cortes 2015,trt_031,-1.6741500399273759,1,43
Macias-Cortes 2015,trt_039,-2.614023746553271,1,46
Mahableshwarkar 2013,trt_031,-1.1394182090521912,1,149
Mahableshwarkar 2013,trt_038,-1.4617107881840967,1,149
Mahableshwarkar 2015a,trt_031,-3.270257734702272,1,161
Mahableshwarkar 2015a,trt_038,-3.2702577347022723,1,152
Maina 2007,trt_014,-2.720020995433271,1,17
Maina 2007,trt_044,-2.930917255516566,1,18
Marchesi 1998,trt_039,-2.6700222444874377,1,67
Marchesi 1998,trt_046,-2.766529072601441,1,75
Markkula 2019,trt_013,-1.8825536251010528,1,124
Markkula 2019,trt_028,-0.5098582734648686,1,134
Marshall 2008,trt_003,-2.807670820027604,1,30
Marshall 2008,trt_010,-2.330590095004837,1,37
Marshall 2008,trt_020,-2.064642967438954,1,35
Mathews 2015,trt_031,-1.353230752187099,1,281
Mathews 2015,trt_039,-1.5820859529246232,1,280
McCallum 1975,trt_031,-0.7815386266441992,1,12
McCallum 1975,trt_046,-1.7904339446758017,1,12
McKnight 1992,trt_010,-2.3594638620079027,1,22
McKnight 1992,trt_046,-2.186051150546297,1,21
McNamara 1986,trt_006,-3.6528411363920545,1,10
McNamara 1986,trt_010,-6.3763565130843665,1,20
Mehtonen 2000,trt_038,-3.4836714751673727,1,75
Mehtonen 2000,trt_039,-3.4836714751673727,1,72
Mendels 1993,trt_031,-1.1297988792466116,1,75
Mendels 1993,trt_038,-1.587941444715086,1,77
Miller 1989a,trt_031,-0.9348976690846145,1,22
Miller 1989a,trt_039,-0.9047396797593042,1,19
Miranda 2003/2006,trt_003,-1.7967031204210597,1,88
Miranda 2003/2006,trt_008,-1.0868944802547154,1,90
Miranda 2003/2006,trt_045,-0.909442320213129,1,89
Miura 2000,trt_039,-0.8148406569153509,1,102
Miura 2000,trt_046,-0.9388381481850782,1,114
Moak 2003,trt_011,-1.9989937741462969,1,38
Moak 2003,trt_012,-1.723270494953704,1,44
Mohr 2011,trt_010,-1.0885197032087568,1,41
Mohr 2011,trt_028,-0.4495183218806532,1,44
Moises 1981,trt_046,-1.9960442999250754,1,20
Moises 1981,trt_047,-1.2650984999525126,1,16
Moller 1993,trt_039,-2.674017526094893,1,81
